"","cluster","cluster_label","n"
"1",-1,"noecon",35287
"2",0,"isolated",209
"3",1,"European Applied Social Sciences: Regional Economics, Policy, and Management",37
"4",2,"Finance",36
"5",3,"CORE",33
"6",4,"Post-Keynesian and Heterodox approaches",33
"7",5,"Global Economics  and  Islamic Finance: Policy, Trade, and Regional Dynamics",31
"8",6,"Econometrics and Statistics",30
"9",7,"Agricultural economics",30
"10",8,"Accounting",28
"11",9,"Regional and Spatial economics",28
"12",10,"Emerging and transitional economies",26
"13",11,"International Cooperation and Development",25
"14",12,"Finance [topics]",25
"15",13,"Business studies",25
"16",14,"Economics of Energy, Resources and Environment",24
"17",15,"Economics of Innovation and Technology",22
"18",16,"Economics and finance",22
"19",17,"Operations research",18
"20",18,"Development economics",18
"21",19,"Microeconomic theory",17
"22",20,"Labour Economics",16
"23",21,"Industrial Organization",15
"24",22,"Topics in economics [independent publishers?]",14
"25",23,"Health Economics",15
"26",24,"Industrial relations",15
"27",25,"HET and Methodology",14
"28",26,"Spanish-language",13
"29",27,"Housing and Urban studies",14
"30",28,"Asia-Eurasia: Energy, Trade, and Emerging Market Development",13
"31",29,"Economic history",12
"32",30,"Public economics, Public finance",13
"33",31,"Transport economics",12
"34",32,"Real estate and Housing economics",12
"35",33,"Development [Asia]",11
"36",34,"Turkish journals",10
"37",35,"Publich choice/Austrian",9
"38",36,"Insurance and actuarial",8
"39",37,"Marketing",9
"40",38,"Cooperative  and  Non-profit",9
"41",39,"Applied Social Sciences: Regional Dynamics, Interdisciplinarity, and Global Challenges",9
"42",40,"Law  and  Economics",8
"43",41,"Demography and Population studies",7
"44",42,"Australian journals",6
"45",43,"International economics?",4
"46",44,"Miscellanea [6]",5
"47",45,"Development economics [China]",5
"48",46,"Behavioral Economics and Psychology",5
"49",47,"Applied Business and Economics",5
"50",48,"Transnational policy oriented analysis",5
"51",49,"French Journals",4
"52",50,"Inequality, Human Development",4
"53",51,"Business and economics [Topics]",3
"54",52,"Miscellanea [1]",3
"55",53,"Latino-American based",3
"56",54,"Croatia Slovenia journals",3
"57",55,"Miscellanea [3]",2
"58",56,"Romania-based",3
"59",57,"American social science",2
"60",58,"Tourism",2
"61",59,"Croatian journals",2
"62",60,"Miscellanea [2]",2
"63",61,"Economic systems",2
"64",62,"Brazilian journals",2
"65",63,"Miscellanea [5]",1
"66",64,"Regional finance and accounting",2
"67",65,"Experimental economics",2
"68",66,"Miscellanea [4]",2
"69",67,"South-African journals",2
"70",68,"Colombia journals",1
"71",69,"Pensions",2
"72",70,"Polish journals",2
"73",71,"Agricultural Economics and Policy",2
"74",72,"Latin American Economic Policy",2
"75",73,"Dissemination",2
"76",74,"Topics in economics [2]",2
"77",75,"Sustainable development",2
"78",76,"Management engineering?",2
"79",77,"Spain journal",1
"80",78,"Spain journals",1
